x,y,u,v,p
0.16,0.2,-0.06927237,0.06626035,0.1029581
0.18,0.2,-0.08314332,0.0720749,0.102474
0.2,0.2,-0.09771286,0.07735349,0.1018943
0.22,0.2,-0.1128456,0.08190928,0.101212
0.24,0.2,-0.1283758,0.08553252,0.1004247
0.26,0.2,-0.1441135,0.08801477,0.09953525
0.28,0.2,-0.1598542,0.08916768,0.09855266
0.3,0.2,-0.1753875,0.0888363,0.09749259
0.32,0.2,-0.1905047,0.08690736,0.09637717
0.34,0.2,-0.2050046,0.08331291,0.09523444
0.36,0.2,-0.2186965,0.07803068,0.09409723
0.38,0.2,-0.2314016,0.07108211,0.0930017
0.4,0.2,-0.2429526,0.06252909,0.09198552
0.42,0.2,-0.2531934,0.05247072,0.0910859
0.44,0.2,-0.2619779,0.04104033,0.09033756
0.46,0.2,-0.269168,0.02840341,0.08977065
0.48,0.2,-0.2746328,0.01475653,0.08940885
0.5,0.2,-0.278246,0.000327215,0.08926764
0.52,0.2,-0.2798857,-0.01462507,0.08935285
0.54,0.2,-0.2794334,-0.02980739,0.08965959
0.56,0.2,-0.2767762,-0.04489154,0.09017163
0.58,0.2,-0.2718113,-0.05951333,0.09086138
0.6,0.2,-0.2644549,-0.07327411,0.09169053
